id;course_name;date_of_start;date_of_end
1;Industrial software development in Java;2021-09-27;2022-01-27
2;Industrial software development on SP.NET;2021-09-27;2022-01-02
3;Unity Game Development;2022-09-27;2022-11-27
4;C ++ game development;2021-09-26;2022-11-27
5;Development with Node.js;2022-01-26;2022-06-26
6;Cloud Application Development;2021-09-26;2021-12-20
7;Data Science;2021-09-27;2021-12-26
8;Manual software testing;2021-09-26;2021-09-26
9;IT HR;2022-01-27;2022-04-26
10;Content Marketing in IT;2021-09-27;2021-12-27
